Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Rolling Mean,Rolling Std Dev
2012-01-02,580.5,592.9749755859375,576.5,589.2999877929688,485.2531127929688,2248542,,,
2012-01-03,591.625,604.9500122070312,590.0,598.7999877929688,493.0757141113281,2708884,0.01612082164735673,,
2012-01-04,602.4500122070312,602.5,584.6500244140625,586.5,482.9473571777344,2386770,-0.02054106219725138,,
2012-01-05,586.4000244140625,592.5,583.6749877929688,586.0,482.53564453125,2547312,-0.0008525149190110604,,
2012-01-06,583.0,594.1749877929688,578.4000244140625,584.7000122070312,481.4652099609375,2119728,-0.002218409203018301,,
2012-01-09,585.5,589.8499755859375,582.625,585.6749877929688,482.2681274414063,1509028,0.0016674800163887227,,
2012-01-10,587.5,592.75,579.25,582.7000122070312,479.8182678222656,3591790,-0.0050795674186945305,,
2012-01-11,585.7000122070312,587.5,566.5750122070312,568.5,468.1255187988281,5675380,-0.024369335695133,,
2012-01-12,550.5,557.5,534.3250122070312,544.75,448.5687561035156,9528684,-0.04177660510114334,,
2012-01-13,548.5750122070312,551.6749877929688,536.5,542.875,447.0248107910156,4019828,-0.0034419458467186415,,
2012-01-16,542.0,557.0,539.4500122070312,554.7000122070312,456.76214599609375,3047202,0.021782200703718724,,
2012-01-17,559.9500122070312,562.3499755859375,547.0,551.9749755859375,454.5181884765625,3704218,-0.004912631262168898,,
2012-01-18,540.0,548.1500244140625,522.6500244140625,538.0750122070312,443.0723876953125,11665532,-0.025182234691257577,,
2012-01-19,543.5,544.4500122070312,532.7000122070312,537.7750244140625,442.8253173828125,4163292,-0.0005575203943002371,,
2012-01-20,539.9749755859375,545.4749755859375,536.5,539.75,444.45159912109375,2572694,0.0036724940658769967,,
2012-01-23,543.0,545.7249755859375,537.0750122070312,538.8499755859375,443.71044921875,2130496,-0.0016674838611625553,,
2012-01-24,544.0,547.5,539.0,544.3499755859375,448.2394714355469,2641310,0.010206922611473379,,
2012-01-25,547.4500122070312,554.9749755859375,545.5250244140625,549.0,453.3174133300781,5845238,0.008542343386820583,,
2012-01-27,552.5,560.2750244140625,550.0499877929688,554.375,457.7557678222656,5209718,0.009790528233151186,,
2012-01-30,551.25,559.4749755859375,550.375,555.875,458.9943542480469,2595558,0.0027057497181510737,,
2012-01-31,556.5,567.9500122070312,556.5,566.2000122070312,467.5198364257813,3538120,0.01857434172616368,,
2012-02-01,564.7000122070312,567.5,554.125,564.3499755859375,465.99224853515625,2288804,-0.0032674612878977882,,
2012-02-02,568.0,576.3250122070312,565.1500244140625,574.0,473.96044921875,3386140,0.017099361799463697,,
2012-02-03,572.5,588.0,570.5,585.7750244140625,483.6831665039063,2777558,0.020513979815439898,,
2012-02-06,591.8499755859375,600.0250244140625,586.6749877929688,596.9249877929688,492.8897705078125,3427196,0.019034548955137343,,
2012-02-07,604.8499755859375,604.8499755859375,595.9500122070312,599.0,494.6033630371094,3407656,0.0034761691158269326,,
